673,KRC Genk
675,Beerschot AC
15005,SV Zulte-Waregem
2007,Sporting Lokeren
1750,KSV Cercle Brugge
229,RSC Anderlecht
674,KAA Gent
1747,RAEC Mons
,FCV Dender EH
232,Standard de Liège
110724,KV Mechelen
231,Club Brugge KV
546,KSV Roeselare
100081,KV Kortrijk
,Tubize
111560,Royal Excel Mouscron
681,KVC Westerlo
670,Sporting Charleroi
680,Sint-Truidense VV
239,Lierse SK
2013,KAS Eupen
100087,Oud-Heverlee Leuven
110913,Waasland-Beveren
682,KV Oostende
111560,Royal Excel Mouscron
11,Manchester United
13,Newcastle United
1,Arsenal
109,West Bromwich Albion
106,Sunderland
9,Liverpool
19,West Ham United
1917,Wigan Athletic
2,Aston Villa
10,Manchester City
7,Everton
3,Blackburn Rovers
12,Middlesbrough
18,Tottenham Hotspur
4,Bolton Wanderers
1806,Stoke City
1952,Hull City
144,Fulham
5,Chelsea
1790,Portsmouth
88,Birmingham City
110,Wolverhampton Wanderers
1796,Burnley
1926,Blackpool
1960,Swansea City
15,Queens Park Rangers
1792,Norwich City
17,Southampton
1793,Reading
1799,Crystal Palace
1961,Cardiff City
95,Leicester City
1943,Bournemouth
1795,Watford
57,AJ Auxerre
71,FC Nantes
59,Girondins de Bordeaux
210,SM Caen
1738,Le Havre AC
72,OGC Nice
1739,Le Mans FC
217,FC Lorient
66,Olympique Lyonnais
1809,Toulouse FC
69,AS Monaco
73,Paris Saint-Germain
1823,AS Nancy-Lorraine
65,LOSC Lille
74,Stade Rennais FC
219,Olympique de Marseille
226,FC Sochaux-Montbéliard
1805,Grenoble Foot 38
110456,Valenciennes FC
1819,AS Saint-Étienne
64,RC Lens
70,Montpellier Hérault SC
111376,US Boulogne Cote D'Opale
111989,AC Arles-Avignon
378,Stade Brestois 29
614,AC Ajaccio
111271,Évian Thonon Gaillard FC
110569,Dijon FCO
379,Stade de Reims
58,SC Bastia
294,ES Troyes AC
62,En Avant de Guingamp
68,FC Metz
1530,Angers SCO
110316,GFC Ajaccio
21,FC Bayern Munich
28,Hamburger SV
32,Bayer 04 Leverkusen
22,Borussia Dortmund
34,FC Schalke 04
485,Hannover 96
175,VfL Wolfsburg
31,1. FC Köln
1824,Eintracht Frankfurt
166,Hertha BSC Berlin
159,DSC Arminia Bielefeld
38,SV Werder Bremen
162,FC Energie Cottbus
10029,TSG 1899 Hoffenheim
23,Borussia Mönchengladbach
36,VfB Stuttgart
1832,Karlsruher SC
160,VfL Bochum
25,SC Freiburg
171,1. FC Nürnberg
169,1. FSV Mainz 05
29,1. FC Kaiserslautern
110329,FC St. Pauli
100409,FC Augsburg
110636,Fortuna Düsseldorf
165,SpVgg Greuther Fürth
110500,Eintracht Braunschweig
10030,SC Paderborn 07
111239,FC Ingolstadt 04
110502,SV Darmstadt 98
39,Atalanta
1838,Siena
1842,Cagliari
46,Lazio
110364,Catania
110556,Genoa
192,Chievo Verona
203,Reggio Calabria
110374,Fiorentina
45,Juventus
47,Milan
189,Bologna
52,Roma
48,Napoli
1837,Sampdoria
44,Inter
54,Torino
347,Lecce
55,Udinese
1843,Palermo
1848,Bari
1844,Livorno
50,Parma
110915,Cesena
190,Brescia
112225,Novara
200,Pescara
206,Hellas Verona
111974,Sassuolo
1746,Empoli
111657,Frosinone
112409,Carpi
1909,Vitesse
1915,FC Groningen
1902,Roda JC Kerkrade
1908,FC Twente
1907,Willem II
245,Ajax
1910,N.E.C.
635,De Graafschap
1903,FC Utrecht
247,PSV
100634,Heracles Almelo
246,Feyenoord
100646,Sparta Rotterdam
650,ADO Den Haag
,FC Volendam
1913,SC Heerenveen
1906,AZ
1904,NAC Breda
1905,RKC Waalwijk
100651,VVV-Venlo
1971,Excelsior
1914,PEC Zwolle
647,SC Cambuur
100632,Go Ahead Eagles
100626,FC Dordrecht
1873,Wisła Kraków
111429,Polonia Bytom
111429,Polonia Bytom
874,Ruch Chorzów
1871,Legia Warszawa
1570,P. Warszawa
111092,Śląsk Wrocław
111091,Lechia Gdańsk
301,Widzew Łódź
1564,Odra Wodzisław
873,Lech Poznań
110744,GKS Bełchatów
111082,Arka Gdynia
110745,Jagiellonia Białystok
111086,Piast Gliwice
110747,Cracovia
111083,Korona Kielce
110749,Zagłębie Lubin
301,Widzew Łódź
111087,Podbeskidzie Bielsko-Biała
110746,Pogoń Szczecin
112512,Zawisza Bydgoszcz
110565,Górnik Łęczna
,Termalica Bruk-Bet Nieciecza
236,FC Porto
1889,CF Os Belenenses
237,Sporting CP
,Trofense
1887,Vitória Guimarães
665,Vitória Setúbal
1892,FC Paços de Ferreira
1896,SC Braga
,Amadora
1901,Académica de Coimbra
744,Rio Ave FC
234,SL Benfica
10018,Leixões SC
1891,CD Nacional
100737,Naval 1° de Maio
1893,CS Marítimo
1895,"União de Leiria, SAD"
111540,S.C. Olhanense
,Portimonense
1897,SC Beira Mar
,Feirense
1888,Gil Vicente FC
1900,Moreirense FC
10020,Estoril Praia
112513,FC Arouca
100741,FC Penafiel
1898,Boavista FC
,Uniao da Madeira
,Tondela
79,Falkirk
86,Rangers
80,Heart of Midlothian
83,Motherwell
82,Kilmarnock
81,Hibernian
77,Aberdeen
620,Inverness Caledonian Thistle
78,Celtic
100805,St. Mirren
184,Hamilton Academical FC
181,Dundee United
100804,St. Johnstone FC
182,Dunfermline Athletic
180,Dundee FC
631,Ross County FC
1754,Partick Thistle F.C.
461,Valencia CF
453,RCD Mallorca
479,CA Osasuna
483,Villarreal CF
242,RC Deportivo de La Coruña
243,Real Madrid CF
477,CD Numancia
241,FC Barcelona
456,Racing Santander
481,Sevilla FC
459,Real Sporting de Gijón
1860,Getafe CF
449,Real Betis Balompié
571,RC Recreativo
452,RCD Espanyol
462,Real Valladolid
448,Athletic Club de Bilbao
1861,UD Almería
240,Atlético Madrid
573,Málaga CF
1742,Xerez Club Deportivo
244,Real Zaragoza
260,CD Tenerife
100879,Hércules Club de Fútbol
1853,Levante UD
457,Real Sociedad
110832,Granada CF
480,Rayo Vallecano
450,RC Celta de Vigo
468,Elche CF
467,SD Eibar
1867,Córdoba CF
472,UD Las Palmas
322,Grasshopper Club Zürich
1714,AC Bellinzona
900,BSC Young Boys
896,FC Basel
434,FC Aarau
110770,FC Sion
897,FC Luzern
286,FC Vaduz
435,Neuchâtel Xamax
894,FC Zürich
898,FC St. Gallen
1715,FC Thun
324,Servette FC
1862,FC Lausanne-Sports
,Lugano
